#Name	FpThm	FpRefl3	FpRefl5
TOI-4010-b	1.9839468797884174	9.281700213350184	15.46950035558364
TOI-261.01	4.45713615933723	4.169558272810352	6.949263788017254
TOI-1696-b	9.54403128903081e-07	10.060566886909891	16.767611478183152
TOI-1410.01	2.181199037737586	13.977736917401783	23.296228195669638
HD-93963-A-c	0.2730415877614506	2.3459071767689905	3.9098452946149846
HD-134060-b	0.8353110868320406	2.7622393249468713	4.603732208244785
K2-160-b	0.012831532816470865	1.414814060286987	2.358023433811645
NGTS-4-b	8.971295311430714	16.017189604299148	26.695316007165243
TOI-908-b	0.4219090368798382	3.1097750072240027	5.182958345373337
TOI-332-b	26.75664576653958	22.471784895256253	37.452974825427084
K2-370-b	38.01369663966729	20.425512854967305	34.042521424945505
TOI-5704-b	0.009290990391751647	3.3190974609211126	5.5318291015351875
